131

 [0] APP
 2.0.0.0:0 [0] APP
 3.0.0.0:0 [0] APP
 4.0.0.0:0 [0] APP
 5.0.0.0:0 [0] APP
 6.0.0.0:0 [0] APP
 7.0.0.0:0 [0] APP
 8.0.0.0:0 [0] APP
 9.0.0.0:0 [0] APP
 10.0.0.0:0 [0] APP
 4.0.0.0:0 [0] Message JOINREQ sent to 1:0
 3.0.0.0:0 [0] Message JOINREQ sent to 1:0
 2.0.0.0:0 [0] Message JOINREQ sent to 1:0
 1.0.0.0:0 [0] Starting up group...
 8.0.0.0:0 [1] Message JOINREQ sent to 1:0
 7.0.0.0:0 [1] Message JOINREQ sent to 1:0
 6.0.0.0:0 [1] Message JOINREQ sent to 1:0
 5.0.0.0:0 [1] Message JOINREQ sent to 1:0
 6.0.0.0:0 [6] Node 10.0.0.0:0 joined at time 6
 2.0.0.0:0 [6] Node 9.0.0.0:0 joined at time 6
 2.0.0.0:0 [6] Node 6.0.0.0:0 joined at time 6
 2.0.0.0:0 [6] Node 7.0.0.0:0 joined at time 6
 2.0.0.0:0 [6] Node 8.0.0.0:0 joined at time 6
 5.0.0.0:0 [7] Node 8.0.0.0:0 joined at time 7
 5.0.0.0:0 [7] Node 9.0.0.0:0 joined at time 7
 5.0.0.0:0 [7] Node 10.0.0.0:0 joined at time 7
 4.0.0.0:0 [7] Node 10.0.0.0:0 joined at time 7
 2.0.0.0:0 [7] Node 10.0.0.0:0 joined at time 7
 8.0.0.0:0 [100] Node failed at time=100
